StationCode;StationName;Category;Region;MinimumStopTime_IPV;PassingThroughStation_IPV;MinimumStopTime_A;PassingThroughStation_A;MinimumStopTime_B;PassingThroughStation_B;MinimumStopTime_C;PassingThroughStation_C;MinimumStopTime_D;PassingThroughStation_D;ZAZ (Train dispatching time);ConnectionTime;Labels;XCoord;YCoord;Create
AA;Aarau;2;Mitte;2;0;2;0;2;0;2;0;2;0;0.2;4;SBB;-209.4991625;-427.021373;1
GD;Arth-Goldau;2;Sud;2;0;2;0;2;0;2;0;2;0;;4;;951.9866035;758.834056;1
BEL;Bellinzona;2;Sud;2;0;2;0;2;0;2;0;2;0;;4;;2121.053433;3728.103892;1
BR;Brig;2;Ouest;2;0;2;0;2;0;2;0;2;0;;4;;-329.3652;3328.39752;1
BUE;Bülach;2;Ost;2;0;2;0;2;0;2;0;2;0;;4;;898.8887195;-904.009981;1
CHI;Chiasso;2;Sud;2;0;2;0;2;0;2;0;2;0;;7;;2150.55564;5000;1
CH;Chur;2;Ost;2;0;2;0;2;0;2;0;2;0;;4;;3235.226062;1397.129247;1
FRI;Fribourg/Freiburg;2;Ouest;2;0;2;0;2;0;2;0;2;0;;4;;-2286.192724;1637.608378;1
GE;Genève;2;Ouest;2;0;2;0;2;0;2;0;2;0;;4;;-4663.358198;3689.447021;1
GEAP;Genève aéroport;2;Ouest;2;0;2;0;2;0;2;0;2;0;;1;;-4733.658091;3610.022432;1
IO;Interlaken Ost;2;Mitte;2;0;2;0;2;0;2;0;2;0;;5;;-656.2338255;2058.391723;1
LQ;Landquart;2;Ost;2;0;2;0;2;0;2;0;2;0;;4;;3283.056782;995.1229965;1
LG;Lugano;2;Sud;2;0;2;0;2;0;2;0;2;0;;4;;1939.473284;4397.116645;1
OL;Olten;2;Mitte;2;0;2;0;2;0;2;0;2;0;;5;;-538.742579;-286.602732;1
SG;St. Gallen;2;Ost;2;0;2;0;2;0;2;0;2;0;;5;;2818.572081;-589.3046175;1
TH;Thun;2;Mitte;2;0;2;0;2;0;2;0;2;0;;4;;-1173.572842;1807.484374;1
VI;Visp;2;Ouest;2;0;2;0;2;0;2;0;2;0;;4;;-578.900898;3418.974947;1
WIL;Wil;2;Ost;2;0;2;0;2;0;2;0;2;0;;4;;2060.435379;-709.0873575;1
W;Winterthur;2;Ost;2;0;2;0;2;0;2;0;2;0;;4;;1330.339474;-828.050963;1
ZG;Zug;2;Ost;2;0;2;0;2;0;2;0;2;0;;4;;866.6159235;323.4007965;1
ZFH;Zürich Flughafen;2;Ost;3;0;3;0;3;0;3;0;3;0;;4;;962.4904855;-647.2111605;1
