StationCode;StationName;Category;Region;DwellTime_IPV;StopFlag_IPV;DwellTime_A;StopFlag_A;DwellTime_B;StopFlag_B;DwellTime_C;StopFlag_C;DwellTime_D;StopFlag_D;BufferTime;TransferTime;Labels;XCoord;YCoord;Create
AD;Aadorf;4;Ost;;0;;0;;0;;0;;0;;;;;;
AA;Aarau;2;Mitte;2;1;2;1;2;1;2;1;2;1;0.2;4;SBB;-209.4991625;-427.021373;1
ABE;Aarberg;4;Mitte;;0;;0;;0;;0;;0;;;;;;
ABO;Aarburg-Oftringen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
AAT;Aathal;4;Ost;;0;;0;;0;;0;;0;;;;;;
AEF;Aefligen;5;Mitte;;0;;0;;0;;0;;0;;;;;;
AE;Aesch;4;Mitte;;0;;0;;0;;0;;0;;;;;;
AF;Affoltern am Albis;3;Ost;;0;;0;;0;;0;;0;;;;;;
AGY;Agy;4;Ouest;;0;;0;;0;;0;;0;;;;;;
AIG;Aigle;3;Ouest;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;0.7;4;SBB,Kanton TI,;240;430;1
AI;Airolo;4;Sud;;0;;0;;0;;0;;0;;;;;;
ALL;Allaman;4;Ouest;;0;;0;;0;;0;;0;;3;;;;
AL;Altdorf;3;Sud;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;0.4;4;;;;
ALTD;Altendorf;4;Ost;;0;;0;;0;;0;;0;;;;;;
AT;Altmatt;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
ALN;Altnau;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
ALT;Altstätten SG;3;Ost;;0;;0;;0;;0;;0;;;;;;
AP;Ambri-Piotta;4;Sud;;0;;0;;0;;0;;0;;;;;;
AW;Amriswil;4;Ost;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;0.2;;;;;
AW;Amriswil;4;Ost;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;0.2;;;;;
AN;Andelfingen;4;Ost;;0;;0;;0;;0;;0;;;;;;
ARB;Arbon;4;Ost;;0;;0;;0;;0;;0;;;;;;
ARBS;Arbon Seemoosriet;5;Ost;;0;;0;;0;;0;;0;;;;;;
ARD;Ardon;4;Ouest;;0;;0;;0;;0;;0;;;;;;
ARN;Arnegg;4;Ost;;0;;0;;0;;0;;0;;;;;;
AX;Arnex;5;Ouest;;0;;0;;0;;0;;0;;;;;;
GD;Arth-Goldau;2;Sud;2;1;2;1;2;1;2;1;2;1;;4;;951.9866035;758.834056;1
AUSG;Au SG;4;Ost;;0;;0;;0;;0;;0;;;;;;
AU;Au ZH;4;Ost;;0;;0;;0;;0;;0;;;;;;
AB;Ausserberg;5;Mitte;;0;;0;;0;;0;;0;;;;;;
AUV;Auvernier;4;Ouest;;0;;0;;0;;0;;0;;;;;;
AV;Avenches;4;Ouest;;0;;0;;0;;0;;0;;;;;;
AVRY;Avry;4;Ouest;;0;;0;;0;;0;;0;;;;;;
BAA;Baar;3;Ost;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;3;;;;
BAAL;Baar Lindenpark;4;Ost;;0;;0;;0;;0;;0;;;;;;
BAAN;Baar Neufeld;4;Ost;;0;;0;;0;;0;;0;;;;;;
BAE;Bäch;4;Ost;;0;;0;;0;;0;;0;;;;;;
BRAG;Bad Ragaz;4;Ost;;0;;0;;0;;0;;0;;;;;;
ZZ;Bad Zurzach;4;Ost;;0;;0;;0;;0;;0;;;;;;
BD;Baden;3;Ost;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;4;;;;
BLG;Baldegg;5;Mitte;;0;;0;;0;;0;;0;;;;;;
BLGK;Baldegg Kloster;5;Mitte;;0;;0;;0;;0;;0;;;;;;
BAL;Balerna;4;Sud;;0;;0;;0;;0;;0;;;;;;
BLL;Ballwil;5;Mitte;;0;;0;;0;;0;;0;;;;;;
BRG;Bargen;5;Mitte;;0;;0;;0;;0;;0;;;;;;
BS;Basel SBB;1;Mitte;3;1;3;1;3;1;3;1;3;1;;5;;-1271.852641;-968.343583;1
BSDH;Basel SBB Dreispitz Haltestelle;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BSMR;Basel Morgartenring;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BSC;Bassecourt;4;Ouest;;0;;0;;0;;0;;0;;;;;;
BSD;Bassersdorf;3;Ost;;0;;0;;0;;0;;0;;;;;;
BMA;Bauma;4;Ost;;0;;0;;0;;0;;0;;;;;;
BAV;Bavois;5;Ouest;;0;;0;;0;;0;;0;;;;;;
BAZ;Bazenheid;4;Ost;;0;;0;;0;;0;;0;;;;;;
BW;Beinwil am See;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BELP;Bellinzona Piazza Indipedenza;4;Sud;;0;;0;;0;;0;;0;;;;;;
BF;Belfaux CFF;4;Ouest;;0;;0;;0;;0;;0;;;;;;
BFV;Belfaux-Village;5;Ouest;;0;;0;;0;;0;;0;;;;;;
BELL;Bellach;4;Mitte;;0;;0;;0;;0;;0;;;;;;
